,clinic,date,rating,title,comment,comment_wo_stopwords
178,Lane End Medical Group,2021-04-10,5.0,"Great practice
    ","friendly and efficient service today for the covid-19 vaccination .
friendly and attentive staff.caring service",friendly efficient service today covid19 vaccination  friendly attentive staffcaring service
179,Lane End Medical Group,2021-04-11,5.0,"Extremely Happy
    ",it was a really good decision to move to lane end. the staff and service are very superior. the practice is well organised and staff are most obliging,really good decision move lane end staff service superior practice well organised staff obliging
180,Lane End Medical Group,2021-04-30,5.0,"Great organisation for Covid vaccination
    ","staff managed long queue very well, keeping us informed about the process and progress at every stage. 
i was put at ease at vaccination time, as i am not too good with injections.",staff managed long queue well keeping us informed process progress every stage put ease vaccination time good injections
181,Lane End Medical Group,2021-05-01,5.0,"Excellent (except from booking)
    ","i booked my c-19 vaccine over the phone. i had to wait about 1 hr and a half, which could have been more easily done online. apart from that, everything has been excellent! staff and support team all professional, efficient and kind. all great (except the booking, which -again- could be done online). ",booked c19 vaccine phone wait 1 hr half could easily done online apart that everything excellent staff support team professional efficient kind great except booking again could done online
182,Lane End Medical Group,2021-05-01,4.0,"Great practice
    ",everything was so well organized and even if a long queue outside for the vaccinei didn’t realize of waiting time,everything well organized even long queue outside vaccinei didn’t realize waiting time
183,Lane End Medical Group,2021-04-15,5.0,"COVID VACCINATION
    ",this time programme was much better organised compared to the 1st visit in january 2021.  was very well-received by staff and dealt with in a very polite and considerate manner.  do not 8undertand why when given a 2.0ppm appointment that we had to queue going round the side street with so many people for such a time on the street.  were many given the same time slot?,time programme much better organised compared 1st visit january 2021 wellreceived staff dealt polite considerate manner 8undertand given 20ppm appointment queue going round side street many people time street many given time slot
184,Lane End Medical Group,2021-04-10,5.0,"Very efficient
    ",i have just undergone my second covid vaccination at this venue.  on both occasions  there was ample staff and i was dealt with promptly and efficiently.  the experience on this first occasion was first class but matters were even more streamlined on today's visit.,undergone second covid vaccination venue occasions ample staff dealt promptly efficiently experience first occasion first class matters even streamlined todays visit
185,Lane End Medical Group,2021-04-29,5.0,"Great practice
    ",very kind and hardworking staff! did everything well and ensured that safety regulations were put into place for all patients and people taking vaccines. will definitely be telling others about the practice!,kind hardworking staff everything well ensured safety regulations put place patients people taking vaccines definitely telling others practice
186,Lane End Medical Group,2021-04-16,5.0,"Amazing Covid Vaccine programme
    ","i’ve had both covid vaccines at this practice, really well organised, lively friendly and efficient staff outside and inside. vaccines were delivered quickly and with no pain. the marshals guided us in and out safely. well done to all. ",i’ve covid vaccines practice really well organised lively friendly efficient staff outside inside vaccines delivered quickly pain marshals guided us safely well done all
187,Lane End Medical Group,2021-04-11,5.0,"Superbly Organised
    ","i received both my corona virus vaccinations at the lane end practice. i doubt that they could have been better organised. over the past few months they have continually made improvements to their system, so that the flow of patients is easy, fast and very smooth. in addition, their staff and volunteers are extremely professional, well organised, efficient and very friendly. well done.",received corona virus vaccinations lane end practice doubt could better organised past months continually made improvements system flow patients easy fast smooth addition staff volunteers extremely professional well organised efficient friendly well done
188,Lane End Medical Group,2021-04-29,5.0,"Great Practice
    ",practice is very well organised. doctors have a good doctor/patient relationship. have been going to the practice for over 30    years. their covid 19 vaccination centre is very efficient and well run,practice well organised doctors good doctorpatient relationship going practice 30 years covid 19 vaccination centre efficient well run
189,Lane End Medical Group,2021-04-12,4.0,"Coronavirus vaccination
    ","i received both doses of my coronavirus vaccine at this surgery. i shall thank the excellent organisation and management. all staff and nurses are very professional and manage a high number of people extremely well every day.
thank you",received doses coronavirus vaccine surgery shall thank excellent organisation management staff nurses professional manage high number people extremely well every day thank
190,Lane End Medical Group,2021-04-11,3.0,"Great Vaccination Centre
    ","what a brilliant experience my 2nd covid-19 vaccination was yesterday 10th april. great organisation and a very friendly, caring and super efficient vaccination team. in fact the process was a repeat of my first covid jab on 23rd jan.
well done and much appreciated",brilliant experience 2nd covid19 vaccination yesterday 10th april great organisation friendly caring super efficient vaccination team fact process repeat first covid jab 23rd jan well done much appreciated
191,Lane End Medical Group,2021-05-03,5.0,"very efficient
    ","went for my second vaccination. as with the first visit, very efficient and welcoming.  felt as though staff wanted to help to keep everybody ""safe"".  very professional. ",went second vaccination first visit efficient welcoming felt though staff wanted help keep everybody safe professional
192,Lane End Medical Group,2021-04-10,5.0,"very good vaccine process
    ","well organised vaccine procedure, very speedy, lovely staff and volunteers, most impressed and will join this surgery if possible ",well organised vaccine procedure speedy lovely staff volunteers impressed join surgery possible
193,Lane End Medical Group,2021-04-11,4.0,"Coronavirus (Covid-19) Vaccination
    ","a well organised vaccine proceedure, friendly, efficient staff and volunteers made it an easy process for both our visits in january and april 2021",well organised vaccine proceedure friendly efficient staff volunteers made easy process visits january april 2021
194,Lane End Medical Group,2021-04-30,5.0,"Fantastic service and well organised
    ","i was very pleased with the organisation, friendly welcome. all staff at lane end medical group have always been very helpful, esp. during vaccination time.",pleased organisation friendly welcome staff lane end medical group always helpful esp vaccination time
195,Lane End Medical Group,2021-04-10,5.0,"Covid vaccination
    ",very well organised queue moved very quickly volunteers very  pleasant and well organised no fuss made about me having lost my original card,well organised queue moved quickly volunteers pleasant well organised fuss made lost original card
196,Lane End Medical Group,2021-05-02,5.0,"2nd Vaccine
    ","much improved throughput over first vaccine appointment. longer queues but rapid throughput. overall, this surgery has responded brilliantly to the pandemic, with online offerings much improved.",much improved throughput first vaccine appointment longer queues rapid throughput overall surgery responded brilliantly pandemic online offerings much improved
197,Lane End Medical Group,2021-04-19,3.0,"Covid Vaccination #2
    ","as with the first trip, everything was very organised and expertly marshalled. in and out in 10 mins. they knew i was coming, had the forms ready and mainly filled. very efficient and a credit to all who have been doing this for months now",first trip everything organised expertly marshalled 10 mins knew coming forms ready mainly filled efficient credit months
198,Lane End Medical Group,2021-04-12,5.0,"efficient
    ","2 nd jab
well done
proficient 
well orginised
painless
friendly
easy flow 
happy people
suitably attired
",2 nd jab well done proficient well orginised painless friendly easy flow happy people suitably attired
199,Lane End Medical Group,2021-04-10,5.0,"Vaccination
    ",it was orderly with social distancing monitored by stewards. doctors and nurses asked few questions then asked people to move on to the surgery where forms were checked leading to progress towards vaccination posts. sanitisers offered to people. qualified medical people administered vaccine effeciently. gone out in an orderly manner.,orderly social distancing monitored stewards doctors nurses asked questions asked people move surgery forms checked leading progress towards vaccination posts sanitisers offered people qualified medical people administered vaccine effeciently gone orderly manner
200,Lane End Medical Group,2021-04-10,5.0,"Terrific Team
    ","covid team absolutely friendly & reassuring.
the nurse was efficient and it made the whole experience relaxing",covid team absolutely friendly  reassuring nurse efficient made whole experience relaxing
201,Lane End Medical Group,2021-04-12,5.0,"Covid vaccination AZ
    ","very well organised queue when i arrived but moved very quickly.
friendly stewards and doctors asked questions and filled out form before going in. vaccination took few minutes and then off u go
had sore arm but that is all",well organised queue arrived moved quickly friendly stewards doctors asked questions filled form going in vaccination took minutes u go sore arm
202,Lane End Medical Group,2021-04-10,5.0,"COVID vaccination
    ","just had my second vaccination at lane end surgery. extremely impressed by their efficiency, organisation, and friendliness. the nhs at its best! thank you to all the staff and volunteers.",second vaccination lane end surgery extremely impressed efficiency organisation friendliness nhs best thank staff volunteers
203,Lane End Medical Group,2021-04-10,4.0,"Great practice
    ","vaccination appointment has been extremely well organised.
the medical staff and volunteers were very attentive and polite. 

",vaccination appointment extremely well organised medical staff volunteers attentive polite
204,Lane End Medical Group,2021-04-09,5.0,"Covid Vaccinations
    ",i visited lane end medical group in january and april for my coronavirus vaccinations. on both occasions the clinics were very well organised. waiting time was minimal and all the staff were friendly and helpful. there was adequate space for social distancing and hand gel was readily available at several stations.,visited lane end medical group january april coronavirus vaccinations occasions clinics well organised waiting time minimal staff friendly helpful adequate space social distancing hand gel readily available several stations
205,Lane End Medical Group,2021-04-15,5.0,"Covid vaccination
    ",we have had our second vaccination at lane end. very organised and ran to time. the staff were very friendly as were the volunteers. we felt safe in the environment.,second vaccination lane end organised ran time staff friendly volunteers felt safe environment
206,Lane End Medical Group,2021-04-10,5.0,"Very efficient COVID vaccination centre
    ",i attended lane end surgery today to receive my second covid vaccine. this is not my usual surgery. all of the staff and volunteers were incredibly friendly and the whole process was exceptionally well organised and efficient. i great job by everyone! thank you,attended lane end surgery today receive second covid vaccine usual surgery staff volunteers incredibly friendly whole process exceptionally well organised efficient great job everyone thank
207,Lane End Medical Group,2021-04-29,5.0,"Vaccination
    ","extremely efficient, very re assuring, extremely friendly. staff and volunteers brilliant. exemplary. ",extremely efficient assuring extremely friendly staff volunteers brilliant exemplary
208,Lane End Medical Group,2021-04-10,5.0,"COVID VACCINATION 
    ","my wife and i had our 2nd astrazeneca vaccination today at 13:30. the surgery was extremely well organised and well manned with doctors , nurses and volunteers. it took us under ten minutes from arrival to getting our paperwork , having a quick chat with the doctor, getting the “jab” and back into our car. the whole experience was extremely reassuring.           

 god bless our nhs, all the doctors & “care staff”.",wife 2nd astrazeneca vaccination today 1330 surgery extremely well organised well manned doctors  nurses volunteers took us ten minutes arrival getting paperwork  quick chat doctor getting “jab” back car whole experience extremely reassuring god bless nhs doctors  “care staff”
209,Lane End Medical Group,2021-04-29,5.0,"Amazing staff
    ","staff was helpful, friendly and professional. 
on arrival it was a big queue. for my surprise staff was so quick i didn't even have to wait for a minute. 
i was a bit worried but they all made me feel calm.good experience. ",staff helpful friendly professional arrival big queue surprise staff quick even wait minute bit worried made feel calmgood experience
210,Lane End Medical Group,2021-04-29,5.0,"Very efficient COVID vaccination
    ","had my 2nd az vaccine at the surgery today. the volunteers stewards and the surgery staff were superb. 
very well organized 
parking space available right outside the surgery
people kept apart politely
going into the room for the jab and coming out took less than 1 minute. 
leave through the back door - good traffic management.

very impressed.

",2nd az vaccine surgery today volunteers stewards surgery staff superb well organized parking space available right outside surgery people kept apart politely going room jab coming took less 1 minute leave back door  good traffic management impressed
211,Lane End Medical Group,2021-04-10,5.0,"Coronavirus Vaccination
    ","attended for 1st az vaccine 28 jan 2021 and 2nd az vaccine 10 april 2021.

both handled very efficiently and to time.",attended 1st az vaccine 28 jan 2021 2nd az vaccine 10 april 2021 handled efficiently time
212,Lane End Medical Group,2021-04-10,5.0,"Very professional
    ",today i had my second covid jab and i was extremely impressed by the way the whole system works. i was waiting in line with others and was asked a few questions and then taken inside and within 60 seconds i had been innoculated. very organised and professional,today second covid jab extremely impressed way whole system works waiting line others asked questions taken inside within 60 seconds innoculated organised professional
213,Lane End Medical Group,2021-04-11,4.0,"Covid vaccination 
    ","had second covid vaccination. as per first visit very well organised. staff, doctors and  marshall’s all very efficient. thank you for making the experience hassle free.",second covid vaccination per first visit well organised staff doctors marshall’s efficient thank making experience hassle free
214,Lane End Medical Group,2021-04-30,5.0,"Thanks so much
    ",came with my wife for second az vaccine jab.  brilliantly organised and painless experience.  we can’t thank the staff and volunteers enough.  you are simply brilliant and we are so very grateful to you all. thanks again.,came wife second az vaccine jab brilliantly organised painless experience can’t thank staff volunteers enough simply brilliant grateful all thanks again
215,Lane End Medical Group,2021-04-29,5.0,"Astra Zeneca vaccination
    ","very efficient process from start to finish. both times i got my text from my gp surgery to book my vaccination appointment. arrived at surgery at the time allocated, went through my form with a volunteer. straight in for vaccination. friendly staff, warm and professional. vaccine administered, did not feel a thing. well done lane end!",efficient process start finish times got text gp surgery book vaccination appointment arrived surgery time allocated went form volunteer straight vaccination friendly staff warm professional vaccine administered feel thing well done lane end
216,Lane End Medical Group,2021-04-15,5.0,"Very efficient Covid vaccination procedure
    ","fast, well organised and friendly. the premises themselves are clean and tidy as you would expect. great work by the team. proactive in contacting patients",fast well organised friendly premises clean tidy would expect great work team proactive contacting patients
217,Lane End Medical Group,2021-04-11,5.0,"Great Vaccination Service
    ","such a well organised, polite, welcoming, efficient and informative service. with thanks to the gps and helpers that made the experience very re-assuring.",well organised polite welcoming efficient informative service thanks gps helpers made experience reassuring
218,Lane End Medical Group,2021-04-10,5.0,"Friendly and efficient service
    ","i had my 2nd vaccination (astra zeneca) this morning.  all staff and volunteers were friendly and helpful making it a pleasant experience, as it had been for my first dose in late january.
it was all well-coordinated and very efficient.  thank you.",2nd vaccination astra zeneca morning staff volunteers friendly helpful making pleasant experience first dose late january wellcoordinated efficient thank you
219,Lane End Medical Group,2021-04-13,5.0,"Coronavirus  2nd vaccine
    ",extremely well organised and efficient.  staff very pleasant and helpful and guided me ahead of queue due to me using crutches. ,extremely well organised efficient staff pleasant helpful guided ahead queue due using crutches
220,Lane End Medical Group,2021-04-12,4.0,"COVID Vaccination Excellence
    ","i just want to say thank you to the staff and volunteers who organised everything so well on the four occasions that my wife annd i attended to be vaccinated. great job - cheerful, patient, efficient - effective and so hard working.",want say thank staff volunteers organised everything well four occasions wife annd attended vaccinated great job  cheerful patient efficient  effective hard working
221,Lane End Medical Group,2021-04-01,5.0,"superlative practice
    ",as a medical professional i cannot give too much praise to this surgery not just in the current crisis but consistently,medical professional cannot give much praise surgery current crisis consistently
222,Lane End Medical Group,2021-04-10,5.0,"Brilliant Surgery
    ","went for my second covid jab. was seen very quickly. had my injection didn't feel a thing. lovely friendly nurse. in and out in no time. a great experience.
all the staff there very friendly and polite.",went second covid jab seen quickly injection feel thing lovely friendly nurse time great experience staff friendly polite
223,Lane End Medical Group,2021-04-10,5.0,"Helpful Practice
    ",i had my 2nd covid vax today and both at this one and the 1st vax the staff (volunteers and nurses) were very helpful and efficient.,2nd covid vax today one 1st vax staff volunteers nurses helpful efficient
224,Lane End Medical Group,2021-04-10,5.0,"Great practice for vaccinations 
    ","the place was very organised 
very helpful staff
very quick and efficient 
i was in and out in 15 minutes 
staff were friendly and helpful 
thank you ",place organised helpful staff quick efficient 15 minutes staff friendly helpful thank
225,Lane End Medical Group,2021-05-05,5.0,"Excellent
    ",everything was carried out with regard to the vaccinations absolutely brilliantly and efficiently all the staff were amazing,everything carried regard vaccinations absolutely brilliantly efficiently staff amazing
226,Lane End Medical Group,2021-03-20,5.0,"COVID Vaccine 
    ","very well organised, staff extremely caring and kind. as i have an allergy, they seemed to be extra cautious. very happy with the service ",well organised staff extremely caring kind allergy seemed extra cautious happy service
227,Lane End Medical Group,2021-03-07,5.0,"Brilliant vaccine experience
    ",visited for my first covid vaccine. everything went very smoothly. lot's of professionals and volunteers support. ,visited first covid vaccine everything went smoothly lots professionals volunteers support
228,Lane End Medical Group,2021-03-24,5.0,"Vaccine Experience
    ","this practice was where i had my second c ovid-19 vaccination. the welcome was warm and efficient. the long line in the street  of those to be vaccinated was well organised and the staff looked after those with disabilities with as much care as the did for people like mew who were fit and well. the questionnaire was straightforward and easy to answer and the staff member who talked me through was pleasant and helpful. the queue moved forward suitably socially distanced and masked steadily and i was vaccinated within a few minutes. the vaccination was done efficiently and carefully.the section where we were required to sit and be assessed for 15 minutes after the pfizer vaccine was well run, calm and kept efficiently cleansed. altogether it was an entirely positive experience, completed from start to finish within 25 minutes.there were about 40 people passing through at the time.",practice second c ovid19 vaccination welcome warm efficient long line street vaccinated well organised staff looked disabilities much care people like mew fit well questionnaire straightforward easy answer staff member talked pleasant helpful queue moved forward suitably socially distanced masked steadily vaccinated within minutes vaccination done efficiently carefullythe section required sit assessed 15 minutes pfizer vaccine well run calm kept efficiently cleansed altogether entirely positive experience completed start finish within 25 minutesthere 40 people passing time
229,Lane End Medical Group,2021-03-06,5.0,"brilliant practice
    ","they are very quick and understand our needs and see to us asap 
they all ways there with a smile and get back to us with in minutes ",quick understand needs see us asap ways smile get back us minutes
230,Lane End Medical Group,2021-03-05,5.0,"Great Experience 
    ","received a text from my surgery to book an appointment for a covid-19 vaccination on monday 1st march. followed details in text, went to booking site and within moments i was able to book an appointment for today friday 5th march. attended the practice today arrive dearly, joined a small queue, passed over my details to a chap at front of queue. then received paperwork from a second person, and a lady filled in everything on questionnaire. directed inside and invited to remove my jacket. within seconds directed to a room where i received my vaccination. all i can say is that i’m very happy to have had the first vaccination, and lucky to have had it where i did. absolutely great service, and very professional. thank you so much for what you’ve done for me and everyone else. ",received text surgery book appointment covid19 vaccination monday 1st march followed details text went booking site within moments able book appointment today friday 5th march attended practice today arrive dearly joined small queue passed details chap front queue received paperwork second person lady filled everything questionnaire directed inside invited remove jacket within seconds directed room received vaccination say i’m happy first vaccination lucky did absolutely great service professional thank much you’ve done everyone else
231,Lane End Medical Group,2021-03-07,5.0,"Very well organised
    ","i attended for my covid vaccination. i was very impressed with the speed and efficiency of the operation. also, all of the staff were informative, professional, polite and cheerful. many thanks to everyone involved for making it such a stress free visit.",attended covid vaccination impressed speed efficiency operation also staff informative professional polite cheerful many thanks everyone involved making stress free visit
232,Lane End Medical Group,2021-03-05,5.0,"Slick process for the COVID vaccination
    ","from start to finish, my vaccination couldn't have been as well prepared as i experienced today. from the 'check-in' process to getting into a room to have the jab, to leaving with all of the paperwork required, only took about 10 minutes. 
the volunteers were polite and courteous, the staff inside the practice were empathetic and professional and i didn't feel a thing, even after the nurse said; 'well that's that then'! 
i'd recommend lane end to anyone. the doctors there have served my family and i brilliantly over the past 27 years and the professionalism of all of their staff, is fantastic. ",start finish vaccination well prepared experienced today checkin process getting room jab leaving paperwork required took 10 minutes volunteers polite courteous staff inside practice empathetic professional feel thing even nurse said well thats then id recommend lane end anyone doctors served family brilliantly past 27 years professionalism staff fantastic
233,Lane End Medical Group,2021-03-20,5.0,"COVID vaccination 
    ","very impressed with the super efficiency of the vaccination process. lots of staff on site to help keep the organisation running smoothly, it was all very organised and very covid compliant, with very few (minimal) touch points and one way system. very speedily done but with no loss of a personal caring touch. ",impressed super efficiency vaccination process lots staff site help keep organisation running smoothly organised covid compliant minimal touch points one way system speedily done loss personal caring touch
234,Lane End Medical Group,2021-03-06,5.0,"Well set up system
    ","good parking as long as you are outside the 10-11 restrictions, queued for very short period. registered in queue, double checked further down queue then admitted into surgery, given vaccination.
then exited all within 10 minutes.
really helpful staff, efficient, well done.",good parking long outside 1011 restrictions queued short period registered queue double checked queue admitted surgery given vaccination exited within 10 minutes really helpful staff efficient well done
235,Lane End Medical Group,2021-03-25,5.0,"Covid
    ","now had my second jab. exceedingly well organised. everyone involved wonderful, including the poor people on the pavement directing the queue.",second jab exceedingly well organised everyone involved wonderful including poor people pavement directing queue
236,Lane End Medical Group,2021-03-20,5.0,"Great practice
    ","the whole experience was a pleasure. dealt with very quickly and efficiently. doctor was very friendly and calming.
",whole experience pleasure dealt quickly efficiently doctor friendly calming
237,Lane End Medical Group,2021-03-26,5.0,"Very thankful for the service
    ",my wife and i are so thankful for getting both vaccines. friendly staff and well organised i would highly recommend ,wife thankful getting vaccines friendly staff well organised would highly recommend
238,Lane End Medical Group,2021-03-24,5.0,"Super-efficient
    ","i have my surgery app on my phone. last week i received a message asking me to call the surgery to book my second jab appointment.
when i called, a message told me that i was number 30 in the queue, but if i pressed 1, someone would call me back when i was near the front. true enough, a short while later, i received a call telling me i was number 2 in the queue and to hold.
a receptionist answered and offered me a choice of times for the following wednesday, one of which i gladly accepted.
at the surgery, it was like clockwork. loads of volunteers ensured that i was shown to a room to receive my jab immediately. then, after sitting for 15 minutes to check for adverse effects, i was courteously led out of the back door so as not to mix with the incoming flow of patients.
all in all, a most wonderful and super-efficient service. thank you to everyone concerned, from boris down to the young and caring volunteers.",surgery app phone last week received message asking call surgery book second jab appointment called message told number 30 queue pressed 1 someone would call back near front true enough short later received call telling number 2 queue hold receptionist answered offered choice times following wednesday one gladly accepted surgery like clockwork loads volunteers ensured shown room receive jab immediately then sitting 15 minutes check adverse effects courteously led back door mix incoming flow patients all wonderful superefficient service thank everyone concerned boris young caring volunteers
239,Lane End Medical Group,2021-03-24,5.0,"Excellent organised and efficient.
    ","my wife and i attended this surgery for both our initial vaccinations and today our second ones.
the organization was speedy, highly efficient and polite and respectful to the numerous mainly elderly patients passing through.
no one felt rushed although service was very quick.",wife attended surgery initial vaccinations today second ones organization speedy highly efficient polite respectful numerous mainly elderly patients passing through one felt rushed although service quick
240,Lane End Medical Group,2021-03-24,5.0,"Excellent practice
    ",i had my second covid injection this morning. extremely well organized with numerous staff in attendance complete with hand sanitizer. chair were disinfected after each patient left after having received their vaccination,second covid injection morning extremely well organized numerous staff attendance complete hand sanitizer chair disinfected patient left received vaccination
241,Lane End Medical Group,2021-05-26,2.0,"Been forgotten 
    ",i had my first vaccine at this practice early march.  was told i'd be called for my second.  well i wasn't so i've had to book my second myself on nhs site at a pharmacy end of may.  it will be over 12 weeks so not very happy as i've been forgotten.,first vaccine practice early march told id called second well ive book second nhs site pharmacy end may 12 weeks happy ive forgotten
242,Lane End Medical Group,2021-03-06,5.0,"FANTASTICALLY ORGANISED AND EXTREMELY FRIENDLY!
    ","turned up fo a covid jab. i was dealt with by 7 people as part of the process which ran incredibly smoothly - probably no more than 5 minutes from queueing outside to getting the jab and being able o leave. everyone tremendously friendly and pleased to see me, and felt so very safe as well as well-looked-after.",turned fo covid jab dealt 7 people part process ran incredibly smoothly  probably 5 minutes queueing outside getting jab able leave everyone tremendously friendly pleased see me felt safe well welllookedafter
243,Lane End Medical Group,2021-03-11,5.0,"great practice
    ","upon arriving for my covid jab, i found the staff very efficient and polite. the whole experience was very professional.",upon arriving covid jab found staff efficient polite whole experience professional
244,Lane End Medical Group,2021-03-24,5.0,"Efficient vaccinations
    ","everyone was kind, caring and welcoming.  and patient! both surgery staff and volunteers worked smoothly together and allayed any anxieties.",everyone kind caring welcoming patient surgery staff volunteers worked smoothly together allayed anxieties
245,Lane End Medical Group,2021-03-05,5.0,"Covid-19 Vaccination
    ",i could not have asked for a more efficient and careful process than my visit for my first vaccination today. from joining the queue to leave the surgery i felt looked after and the whole process took less than ten minutes. thank you for all your care and hard work.,could asked efficient careful process visit first vaccination today joining queue leave surgery felt looked whole process took less ten minutes thank care hard work
246,Lane End Medical Group,2021-03-05,3.0,"Well organised and fast covid vaccination centre
    ","i had my first covid vaccine injection this morning and was impressed by the speed, efficiency and overall helpfulness of everyone involved. well done and thank you. i was told that today the surgery would be vaccinating 1500 people. wow. thank you all for your sterling efforts.",first covid vaccine injection morning impressed speed efficiency overall helpfulness everyone involved well done thank you told today surgery would vaccinating 1500 people wow thank sterling efforts
247,Lane End Medical Group,2021-03-05,5.0,"very efficient service
    ",went today for my first astrazeneca vaccine and the queuing system and general help were very good and efficient ,went today first astrazeneca vaccine queuing system general help good efficient
248,Lane End Medical Group,2021-04-13,5.0,"COVID19 Vaccination
    ","excellent experience. well managed, organised and friendly. super efficient, no waiting and with a smile. well done!!!",excellent experience well managed organised friendly super efficient waiting smile well done
249,Lane End Medical Group,2021-03-05,5.0,"Fantastic covid vaccination process 
    ","very fast, efficient queue for covid vaccination. friendly and excellent staff, helpful and reassuring. ",fast efficient queue covid vaccination friendly excellent staff helpful reassuring
250,Lane End Medical Group,2021-03-24,5.0,"Well run Covid Vaccination programme
    ","from first cg five miniall from millway medical, through two vaccinations, nine weeks apart this was exceptionally well; organised.  arrivinhe required 5 minutes ahead of appointments i was out, after a 15 minute observation  wait  in just 23 minutes.

congratulations",first cg five miniall millway medical two vaccinations nine weeks apart exceptionally well organised arrivinhe required 5 minutes ahead appointments out 15 minute observation wait 23 minutes congratulations
251,Lane End Medical Group,2021-03-20,5.0,"Seamless process.
    ",attended the practice today for my first covid-19 vaccine. had received an invite by text from my gp surgery initially & booked online. queue on arrival was long but it moved swiftly & staff were on hand to check names. first points of contact directly outside of the surgery provided a quick survey which was conducted & completed by a member of staff with you. directed quickly thereafter into the building & shown straight into a treatment room. vaccine given swiftly & painlessly. paperwork given & directed out of the exit. excellent. thank you to all there who are involved in this service. i look forward to my second vaccine invite. our nhs is a wonderful thing & we are extremely lucky. ,attended practice today first covid19 vaccine received invite text gp surgery initially  booked online queue arrival long moved swiftly  staff hand check names first points contact directly outside surgery provided quick survey conducted  completed member staff you directed quickly thereafter building  shown straight treatment room vaccine given swiftly  painlessly paperwork given  directed exit excellent thank involved service look forward second vaccine invite nhs wonderful thing  extremely lucky
252,Lane End Medical Group,2021-03-21,5.0,"Excellent service
    ","helpful staff, amazing job. we have arrived on site and looked after by superb nurses. the registration process has been very smooth and straightforward. we have been invited to enter the clinic and the nurse giving the vaccination explained everything clearly and concisely, giving details about any potential reactions and second dose.  thank you nhs.",helpful staff amazing job arrived site looked superb nurses registration process smooth straightforward invited enter clinic nurse giving vaccination explained everything clearly concisely giving details potential reactions second dose thank nhs
253,Lane End Medical Group,2021-03-20,5.0,"Covid-19 Vaccination Centre
    ","excellent, efficient, friendly staff. went through as smooth as silk. well done all working there, you are all doing a great job, especially the nurse that gave me my vaccine! 👍",excellent efficient friendly staff went smooth silk well done working there great job especially nurse gave vaccine 👍
254,Lane End Medical Group,2021-03-05,5.0,"Great place for vaccine 
    ","my first vaccine was at 11.40am and waited in a queue outside the building.  however not for long.  had the jab before my appointment time and it was very organised with pleasant staff.   

the male nurse who delivered the jab was friendly and it was quick and painless and then left by the back of the building.  the surgery is in a very convenient place ",first vaccine 1140am waited queue outside building however long jab appointment time organised pleasant staff male nurse delivered jab friendly quick painless left back building surgery convenient place
255,Lane End Medical Group,2021-03-21,5.0,"Efficient Coronavirus Vaccination Team
    ","i was amazed at how efficient the coronovirus vaccination team was. i arrived early for my appointment but i didn't have to wait - i received my injection immediately and the whole process was over in about 5 minutes, including lots of care, advice and attention.",amazed efficient coronovirus vaccination team was arrived early appointment wait  received injection immediately whole process 5 minutes including lots care advice attention
256,Lane End Medical Group,2021-03-21,5.0,"Very efficient and friendly
    ",i went for my first covid jab.  their process was super-efficient and everyone was lovely and friendly.,went first covid jab process superefficient everyone lovely friendly
257,Lane End Medical Group,2021-03-26,5.0,"Well organised 
    ",my husband and i went to have our second vaccination for covid-19 and everything went very smoothly and was well organised it was was pain free and stress free,husband went second vaccination covid19 everything went smoothly well organised pain free stress free
258,Lane End Medical Group,2021-03-26,5.0,"very good
    ",efficient for my pfizer jab and polite and helpful. really do not think i need t say anymore. this is scond visit and the first was equally as efficent.,efficient pfizer jab polite helpful really think need say anymore scond visit first equally efficent
259,Lane End Medical Group,2021-03-24,5.0,"Great practice, brilliant organisation
    ","complete safety and covid secure from the moment we arrived to when we left. wonderful volunteers, doctors and nurses. good atmosphere and good experience.",complete safety covid secure moment arrived left wonderful volunteers doctors nurses good atmosphere good experience
260,Lane End Medical Group,2021-03-25,5.0,"Excellent Vaccination Group
    ","coming here for the covid jab i found a well organised surgery ready to administer the jab and to accommodate people in the observation  areas afterwards. the smooth running of the queue, the friendly helpers and the care given to the people waiting was outstanding. well done- you are a great example to others!!",coming covid jab found well organised surgery ready administer jab accommodate people observation areas afterwards smooth running queue friendly helpers care given people waiting outstanding well done great example others
261,Lane End Medical Group,2021-03-24,5.0,"Excellent medical practice, ssuperb covid care
    ","the vaccination was superbly organised from the outside socially-distanced queue to the usher-guided entry into the building. the vaccination was quick and efficient, but also friendly and caring. this was my second booster jab and the experience completely replicated the original vaccination. 
",vaccination superbly organised outside sociallydistanced queue usherguided entry building vaccination quick efficient also friendly caring second booster jab experience completely replicated original vaccination
262,Lane End Medical Group,2021-03-25,5.0,"Great practice
    ","my wife and i have both our vaccinations at your surgery and we could not have been more impressed with the efficiency,kindness and speed at which they were carried out. we thank you for all your care and dedication. you are a credit to the nhs.",wife vaccinations surgery could impressed efficiencykindness speed carried out thank care dedication credit nhs
263,Lane End Medical Group,2021-03-05,4.0,"covid vaccine
    ","excellent service and organisation. super fast and efficient, friendly and reassuring. clear signs. nurse was ready as i entered the room.",excellent service organisation super fast efficient friendly reassuring clear signs nurse ready entered room
264,Lane End Medical Group,2021-03-20,5.0,"Incredibly polite and efficient 
    ",amazing organisation and a great team of people from start to finish. the whole visit took a matter of minutes - and i’m extremely appreciative of everyone’s efforts. many thanks. ,amazing organisation great team people start finish whole visit took matter minutes  i’m extremely appreciative everyone’s efforts many thanks
